,Event_w_sport_sex
1574, Two Person Keelboat
1622," Light-Flyweight, Freestyle"
1712," Canadian Doubles, Slalom"
1751," Dressage, Individual"
1773, 800 metres Freestyle
1834," Free Rifle, Three Positions, 300 metres, Team"
1893," Tandem Sprint, 2,000 metres"
1917, Heptathlon
1918, Points Race
1923," Dressage, Team"
1952, 18 kilometres
2003, 100 metres Breaststroke
2013, Ice Dancing
2206, Lightweight Coxless Fours
2244," Light-Flyweight, Greco-Roman"
2258," Canadian Singles, 1,000 metres"
2262, 5.5 metres
2307, Synchronized Platform
2320, Halfpipe
2505, Heavyweight I
2550," Large Hill, Individual"
2551," Large Hill, Team"
2629, 10 kilometres Walk
2642, 80 metres Hurdles
2793, Heavyweight II
2848," 5,000 metres Relay"
2883, Individual Time Trial
2900," Kayak Doubles, 1,000 metres"
2925," Super-Heavyweight, Freestyle"
3165, Double Trap
3837, Skeleton
4037," Canadian Singles, Slalom"
4116, (Men)'s Doubles
4127, Multihull
4132," 3,000 metres"
4136, 4 x 5 kilometres Relay
4821, Rope Climbing
4880," 3,000 metres Relay"
5043, Polo
6474," Canadian Singles, 500 metres"
9471," Individual Pursuit, 3,000 metres"
9712, Keirin
9713, Team Sprint
